ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-07-26 15:44:32;analista;40,6;6;3;08;3;1954;374;530;1517;836236;944567;7558901338;27773515;32757;235
1;2025-07-26 15:45:33;analista;67,7;6;2;75;3;1911;306;527;1520;836302;944502;7558948181;27773606;32758;238
2;2025-07-26 15:46:33;analista;20,3;6;2;12;2;1971;565;527;1520;835983;944822;7558948971;27773817;32759;233
3;2025-07-26 15:47:33;analista;100;6;1;60;2;2047;564;527;1520;835889;944915;7558949159;27773892;32760;232
4;2025-07-26 15:48:33;analista;17,5;6;1;51;2;1931;757;526;1521;835882;944923;7558949389;27774001;32761;237
5;2025-07-26 15:49:34;analista;2,7;6;1;17;2;2279;456;526;1521;835827;944977;7558949616;27774102;32762;233
6;2025-07-26 15:50:34;analista;2,7;6;0;90;1;1977;776;526;1521;835801;945004;7558949883;27774226;32763;236
7;2025-07-26 15:51:34;analista;4,1;6;0;33;1;2070;687;526;1521;835793;945011;7558950079;27774311;32764;234
8;2025-07-26 15:52:35;analista;2,7;6;0;12;1;1895;862;526;1521;835793;945011;7558950273;27774401;32765;235
9;2025-07-26 15:53:35;analista;4;6;0;08;1;1887;870;526;1521;835793;945011;7558950510;27774530;32766;235
10;2025-07-26 15:54:35;analista;2,7;6;0;03;0;1882;867;526;1521;835793;945011;7558950719;27774633;32767;231
11;2025-07-26 15:55:36;analista;2,7;6;0;01;0;1883;866;526;1521;835793;945011;7558950952;27774747;32768;234
12;2025-07-26 15:56:36;analista;2,7;6;0;05;0;1888;860;526;1521;835793;945011;7558951165;27774845;32769;233
13;2025-07-26 15:57:36;analista;4,1;6;0;01;0;1884;864;526;1521;835793;945011;7558951348;27774924;32770;232
14;2025-07-26 15:58:36;analista;1,4;6;0;04;0;1883;866;526;1521;835793;945011;7558951529;27775019;32771;235
15;2025-07-26 15:59:37;analista;4,1;6;0;09;0;1883;864;526;1521;835793;945011;7558951707;27775103;32772;236
16;2025-07-26 16:00:37;analista;4,1;6;0;03;0;1880;868;526;1521;835793;945011;7558951924;27775184;32773;235
17;2025-07-26 16:01:37;analista;4,1;6;0;01;0;1884;864;526;1521;835793;945011;7558952168;27775280;32774;237
18;2025-07-26 16:02:38;analista;4,1;6;0;00;0;1883;864;526;1521;835793;945011;7558952378;27775394;32775;237
19;2025-07-26 16:03:38;analista;2,7;6;0;03;0;1879;867;526;1521;835793;945011;7558952616;27775531;32776;235
20;2025-07-26 16:04:38;analista;2,7;6;0;01;0;1881;865;526;1521;835793;945011;7558952837;27775628;32777;235
21;2025-07-26 16:05:39;analista;4;6;0;00;0;1887;858;526;1521;835793;945011;7558953039;27775960;32778;239
22;2025-07-26 16:06:39;analista;2,7;6;0;00;0;1888;857;526;1521;835793;945011;7558953292;27776063;32779;235
23;2025-07-26 16:07:39;analista;2,7;6;0;00;0;1889;856;526;1521;835793;945011;7558953531;27776179;32780;234
24;2025-07-26 16:08:40;analista;2,7;6;0;00;0;1889;856;526;1521;835793;945011;7558953741;27776265;32781;235
25;2025-07-26 16:09:40;analista;1,4;6;0;00;0;1889;854;526;1521;835793;945011;7558954423;27776370;32782;233
26;2025-07-26 16:10:40;analista;2,7;6;0;00;0;1886;857;526;1521;835793;945011;7558954724;27776472;32783;235
27;2025-07-26 16:11:40;analista;2,7;6;0;00;0;1889;853;526;1521;835793;945011;7558955000;27776579;32784;234
28;2025-07-26 16:12:41;analista;1,5;6;0;00;0;1888;855;526;1521;835793;945011;7558955287;27776681;32785;234
29;2025-07-26 16:13:41;analista;1,4;6;0;00;0;1892;850;526;1521;835793;945011;7558955504;27776783;32786;234
30;2025-07-26 16:14:41;analista;2,8;6;0;03;0;1885;857;526;1521;835793;945011;7558955714;27776872;32787;234
31;2025-07-26 16:15:42;analista;2,7;6;0;01;0;1887;855;526;1521;835793;945011;7558956020;27776990;32788;234
32;2025-07-26 16:16:42;analista;2,9;6;0;00;0;1888;851;526;1521;835794;945011;7558956713;27777088;32789;233
33;2025-07-26 16:17:42;analista;4;6;0;00;0;1890;849;526;1521;835794;945011;7558957055;27777231;32790;235
