ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-07-30 11:09:48;dapps;60,9;6;3;52;3;1844;308;587;1460;37434;1743371;9628625921;34260160;38243;236
1;2025-07-30 11:10:49;dapps;2,7;6;2;17;3;1842;501;573;1474;37131;1743674;9628626849;34260440;38244;237
2;2025-07-30 11:11:49;dapps;20;6;1;57;3;1812;378;603;1444;37237;1743567;9628627138;34260572;38245;236
3;2025-07-30 11:12:49;dapps;18,8;6;0;89;2;1768;446;603;1444;37271;1743534;9628627361;34260691;38246;236
4;2025-07-30 11:13:49;dapps;2,7;6;0;52;2;1763;487;603;1444;37095;1743710;9628627647;34260816;38247;236
5;2025-07-30 11:14:50;dapps;1,5;6;0;24;1;1794;554;603;1444;37081;1743723;9628627925;34260940;38248;235
6;2025-07-30 11:15:50;dapps;1,4;6;0;08;1;1791;556;603;1444;37081;1743723;9628628201;34261074;38249;234
7;2025-07-30 11:16:50;dapps;2,7;6;0;03;1;1793;552;603;1444;37081;1743723;9628628414;34261182;38250;236
8;2025-07-30 11:17:51;dapps;2,7;6;0;08;0;1780;561;602;1445;37081;1743723;9628628804;34261325;38251;237
9;2025-07-30 11:18:51;dapps;4,1;6;0;03;0;1787;545;602;1445;37081;1743723;9628630877;34261524;38252;235
10;2025-07-30 11:19:51;dapps;2,7;6;0;01;0;1791;540;602;1445;37081;1743723;9628632604;34261832;38253;234
11;2025-07-30 11:20:51;dapps;4,1;6;0;00;0;1784;546;602;1445;37081;1743723;9628633662;34262050;38254;235
12;2025-07-30 11:21:52;dapps;1,5;6;0;09;0;1780;549;602;1445;37081;1743723;9628633891;34262174;38255;234
13;2025-07-30 11:22:52;dapps;2,8;6;0;03;0;1786;541;602;1445;37082;1743722;9628635593;34262326;38256;232
14;2025-07-30 11:23:52;dapps;1,4;6;0;01;0;1786;540;602;1445;37082;1743722;9628635986;34262461;38257;235
15;2025-07-30 11:24:53;dapps;2,8;6;0;00;0;1786;539;602;1445;37082;1743722;9628636280;34262598;38258;235
16;2025-07-30 11:25:53;dapps;2,7;6;0;00;0;1788;536;602;1445;37082;1743722;9628636527;34262716;38259;236
17;2025-07-30 11:26:53;dapps;2,8;6;0;08;0;1787;517;601;1446;37082;1743722;9628636795;34262830;38260;235
18;2025-07-30 11:27:54;dapps;2,7;6;0;07;0;1789;513;601;1446;37082;1743722;9628637038;34262952;38261;234
19;2025-07-30 11:28:54;dapps;2,7;6;0;02;0;1791;507;601;1446;37098;1743706;9628639547;34263113;38262;235
20;2025-07-30 11:29:54;dapps;100;6;0;06;0;1790;508;601;1446;37098;1743706;9628639846;34263249;38263;235
21;2025-07-30 11:30:55;dapps;4;6;0;05;0;1796;497;600;1447;37098;1743706;9628641735;34263370;38264;236
22;2025-07-30 11:31:55;dapps;2,7;6;0;10;0;1809;473;600;1447;37098;1743706;9628643846;34263497;38265;237
23;2025-07-30 11:32:55;dapps;4,3;6;0;03;0;1799;482;600;1447;37098;1743706;9628645865;34263635;38266;236
24;2025-07-30 11:33:55;dapps;2,7;6;0;01;0;1794;486;600;1447;37098;1743706;9628646112;34263763;38267;234
25;2025-07-30 11:34:56;dapps;2,7;6;0;00;0;1796;483;600;1447;37098;1743706;9628646372;34263873;38268;234
26;2025-07-30 11:35:56;dapps;5,3;6;0;04;0;1798;480;600;1447;37098;1743706;9628646640;34264000;38269;234
27;2025-07-30 11:36:56;dapps;6,7;6;0;05;0;1810;450;600;1447;37098;1743706;9628646952;34264126;38270;234
28;2025-07-30 11:37:57;dapps;2,7;6;0;10;0;1808;451;600;1447;37098;1743706;9628647296;34264237;38271;234
29;2025-07-30 11:38:57;dapps;4;6;0;07;0;1800;458;600;1447;37098;1743706;9628647523;34264342;38272;234
30;2025-07-30 11:39:57;dapps;4;6;0;05;0;1795;462;600;1447;37098;1743706;9628647763;34264455;38273;235
31;2025-07-30 11:40:58;dapps;4,3;6;0;06;0;1798;458;600;1447;37098;1743706;9628649010;34264692;38274;233
32;2025-07-30 11:41:58;dapps;1,4;6;0;10;0;1801;454;600;1447;37098;1743706;9628650607;34264958;38275;233
33;2025-07-30 11:42:58;dapps;4,1;6;0;04;0;1802;443;600;1447;37098;1743706;9628650863;34265056;38276;234
34;2025-07-30 11:43:59;dapps;2,7;6;0;01;0;1800;443;600;1447;37098;1743706;9628651294;34265163;38277;236
35;2025-07-30 11:44:59;dapps;4;6;0;15;0;1807;436;600;1447;37098;1743706;9628652215;34265352;38278;236
36;2025-07-30 11:45:59;dapps;1,4;6;0;14;0;1802;440;599;1448;37099;1743706;9628653058;34265535;38279;238
37;2025-07-30 11:47:00;dapps;3,2;6;0;10;0;1808;433;599;1448;37099;1743706;9628653527;34265677;38280;237
38;2025-07-30 11:48:00;dapps;100;6;0;04;0;1802;439;599;1448;37099;1743706;9628653781;34265791;38281;235
39;2025-07-30 11:49:00;dapps;4,1;6;0;06;0;1806;431;599;1448;37099;1743706;9628654013;34265893;38282;236
40;2025-07-30 11:50:00;dapps;1,6;6;0;02;0;1809;428;599;1448;37099;1743706;9628654286;34266004;38283;236
41;2025-07-30 11:51:01;dapps;1,4;6;0;01;0;1810;422;599;1448;37099;1743706;9628655411;34266111;38284;235
42;2025-07-30 11:52:01;dapps;4,1;6;0;00;0;1805;425;599;1448;37099;1743706;9628656019;34266218;38285;236
43;2025-07-30 11:53:01;dapps;2,7;6;0;00;0;1809;420;599;1448;37099;1743706;9628656218;34266320;38286;235
44;2025-07-30 11:54:02;dapps;3;6;0;06;0;1799;429;599;1448;37099;1743706;9628656427;34266419;38287;235
45;2025-07-30 11:55:02;dapps;1,4;6;0;09;0;1801;426;599;1448;37099;1743706;9628656612;34266508;38288;234
