ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-08-02 23:30:42;educador;34,9;6;3;15;3;1666;361;431;1616;35785;1745019;11407945194;40531023;43303;237
1;2025-08-02 23:31:43;educador;17,3;6;2;33;2;1868;371;430;1617;35350;1745455;11407975930;40531447;43304;237
2;2025-08-02 23:32:43;educador;7,6;6;1;42;2;1844;436;430;1617;35286;1745518;11407976110;40531519;43305;234
3;2025-08-02 23:33:43;educador;20,3;6;1;24;2;1583;389;430;1617;35570;1745235;11407976328;40531582;43306;235
4;2025-08-02 23:34:44;educador;1,6;6;0;93;2;1688;710;437;1610;35250;1745554;11407979210;40531680;43307;241
5;2025-08-02 23:35:44;educador;4,1;6;0;60;1;1645;751;437;1610;35226;1745579;11407979646;40531759;43308;234
6;2025-08-02 23:36:44;educador;20,3;6;0;48;1;1568;742;437;1610;35286;1745518;11407979840;40531839;43309;235
7;2025-08-02 23:37:45;educador;4;6;0;17;1;1571;813;437;1610;35213;1745592;11407980035;40531916;43310;235
8;2025-08-02 23:38:45;educador;7,9;6;0;06;0;1565;819;437;1610;35213;1745592;11407980198;40531989;43311;235
9;2025-08-02 23:39:45;educador;6,5;6;0;02;0;1563;818;437;1610;35213;1745592;11407984840;40532082;43312;234
10;2025-08-02 23:40:46;educador;2,7;6;0;01;0;1565;816;437;1610;35213;1745592;11407985181;40532151;43313;235
11;2025-08-02 23:41:46;educador;4,1;6;0;00;0;1560;820;437;1610;35213;1745592;11407985383;40532234;43314;237
12;2025-08-02 23:42:46;educador;2,8;6;0;00;0;1560;820;437;1610;35213;1745592;11407985636;40532307;43315;235
13;2025-08-02 23:43:47;educador;2,7;6;0;04;0;1566;815;437;1610;35213;1745592;11407985945;40532392;43316;235
14;2025-08-02 23:44:47;educador;4,1;6;0;01;0;1565;816;437;1610;35213;1745592;11407986202;40532494;43317;235
15;2025-08-02 23:45:47;educador;2,7;6;0;00;0;1565;816;437;1610;35213;1745592;11407986594;40532580;43318;235
16;2025-08-02 23:46:48;educador;5,3;6;0;00;0;1570;810;437;1610;35213;1745592;11407986894;40532656;43319;236
17;2025-08-02 23:47:48;educador;1,5;6;0;00;0;1559;821;437;1610;35213;1745592;11407987219;40532732;43321;233
18;2025-08-02 23:48:48;educador;2,8;6;0;00;0;1562;809;437;1610;35213;1745592;11407987575;40532813;43322;235
19;2025-08-02 23:49:49;educador;4,1;6;0;08;0;1486;884;418;1629;35213;1745592;11407987902;40532910;43323;236
20;2025-08-02 23:50:49;educador;6,7;6;0;03;0;1484;886;417;1630;35213;1745592;11407988208;40533181;43324;234
21;2025-08-02 23:51:49;educador;2,7;6;0;01;0;1482;887;417;1630;35213;1745592;11407988631;40533429;43325;233
22;2025-08-02 23:52:49;educador;2,7;6;0;00;0;1480;889;417;1630;35213;1745592;11407988873;40533500;43326;235
23;2025-08-02 23:53:50;educador;2,9;6;0;00;0;1478;891;417;1630;35213;1745592;11407989088;40533581;43327;234
24;2025-08-02 23:54:50;educador;1,4;6;0;00;0;1477;892;417;1630;35213;1745592;11407989278;40533658;43328;233
25;2025-08-02 23:55:50;educador;2,7;6;0;04;0;1478;890;417;1630;35213;1745592;11407989479;40533737;43329;236
26;2025-08-02 23:56:51;educador;4,1;6;0;01;0;1478;888;417;1630;35213;1745592;11407989714;40533821;43330;236
27;2025-08-02 23:57:51;educador;2,8;6;0;15;0;1478;888;417;1630;35213;1745592;11407989930;40533900;43331;235
28;2025-08-02 23:58:51;educador;4,1;6;0;09;0;1476;890;417;1630;35213;1745592;11407990263;40533980;43332;235
29;2025-08-02 23:59:52;educador;2,7;6;0;10;0;1480;886;417;1630;35213;1745592;11407990439;40534058;43333;236
30;2025-08-03 00:00:52;educador;4,1;6;0;04;0;1502;721;411;1636;35196;1745608;11407990738;40534186;43334;237
31;2025-08-03 00:01:52;educador;1,4;6;0;01;0;1489;735;411;1636;35196;1745608;11407990994;40534299;43335;238
32;2025-08-03 00:02:53;educador;2,7;6;0;00;0;1483;739;411;1636;35196;1745608;11407991229;40534390;43336;235
33;2025-08-03 00:03:53;educador;2,7;6;0;13;0;1486;735;411;1636;35196;1745608;11407991409;40534483;43337;236
34;2025-08-03 00:04:53;educador;1,4;6;0;05;0;1499;719;411;1636;35196;1745608;11408001323;40534630;43338;238
35;2025-08-03 00:05:53;educador;2,7;6;0;02;0;1511;680;411;1636;35090;1745714;11408009281;40534773;43339;235
36;2025-08-03 00:06:54;educador;2,7;6;0;00;0;1507;684;411;1636;35090;1745714;11408009542;40534874;43340;238
37;2025-08-03 00:07:54;educador;2,8;6;0;11;0;1507;684;411;1636;35090;1745714;11408009718;40534966;43341;237
38;2025-08-03 00:08:54;educador;1,5;6;0;09;0;1499;692;411;1636;35090;1745714;11408009922;40535058;43342;234
39;2025-08-03 00:09:55;educador;2,7;6;0;03;0;1498;692;411;1636;35090;1745714;11408010231;40535150;43343;235
40;2025-08-03 00:10:55;educador;2,8;6;0;01;0;1503;687;411;1636;35090;1745714;11408010493;40535232;43344;234
