ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-07-31 19:47:56;lightning;36,5;6;3;82;3;2046;358;487;1560;35265;1745540;10319631688;36018329;40201;232
1;2025-07-31 19:48:57;lightning;24,6;6;2;69;3;1944;634;487;1560;35127;1745677;10319677787;36018526;40202;235
2;2025-07-31 19:49:57;lightning;19,7;6;1;49;2;1931;704;487;1560;35041;1745764;10319678063;36018649;40203;234
3;2025-07-31 19:50:57;lightning;6,3;6;0;87;2;1917;700;487;1560;35033;1745772;10319681496;36018871;40204;235
4;2025-07-31 19:51:58;lightning;17,5;6;0;70;2;1898;362;487;1560;35347;1745457;10319683282;36018994;40205;237
5;2025-07-31 19:52:58;lightning;2,7;6;0;26;1;1836;748;487;1560;35014;1745790;10319683556;36019105;40206;236
6;2025-07-31 19:53:58;lightning;2,8;6;0;17;1;1841;743;487;1560;35014;1745790;10319683970;36019214;40207;235
7;2025-07-31 19:54:59;lightning;4;6;0;06;1;1837;747;487;1560;35014;1745790;10319684291;36019318;40208;235
8;2025-07-31 19:55:59;lightning;1,5;6;0;02;0;1835;749;487;1560;35014;1745790;10319684521;36019413;40209;236
9;2025-07-31 19:56:59;lightning;4;6;0;01;0;1825;759;487;1560;35014;1745790;10319684763;36019513;40210;236
10;2025-07-31 19:58:00;lightning;4,1;6;0;00;0;1824;760;486;1561;35014;1745790;10319685005;36019610;40211;238
11;2025-07-31 19:59:00;lightning;2,7;6;0;00;0;1824;760;486;1561;35014;1745790;10319685251;36019706;40212;235
12;2025-07-31 20:00:00;lightning;4;6;0;15;0;1826;757;486;1561;35014;1745790;10319685528;36019795;40213;235
13;2025-07-31 20:01:01;lightning;2,7;6;0;14;0;1829;753;486;1561;35014;1745790;10319685856;36019902;40214;235
14;2025-07-31 20:02:01;lightning;4,1;6;0;05;0;1830;752;486;1561;35014;1745790;10319686142;36020009;40215;233
