ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-07-24 16:05:08;validador;79;6;3;48;3;2021;342;605;1442;823877;956927;6869493290;25104252;29898;238
1;2025-07-24 16:06:12;validador;21,3;6;2;15;3;2110;417;604;1443;823743;957061;6869493821;25104425;29899;242
2;2025-07-24 16:07:13;validador;2,7;6;0;99;2;1909;621;604;1443;823703;957102;6869494036;25104535;29900;238
3;2025-07-24 16:08:13;validador;4,1;6;0;36;2;1903;614;604;1443;823700;957105;6869494291;25104660;29901;239
4;2025-07-24 16:09:13;validador;4,1;6;0;13;1;1894;622;604;1443;823700;957105;6869494594;25104774;29902;237
5;2025-07-24 16:10:14;validador;2,7;6;0;05;1;1886;630;604;1443;823700;957105;6869494803;25104882;29903;237
6;2025-07-24 16:11:14;validador;4;6;0;02;1;1884;629;604;1443;823700;957105;6869495888;25105001;29904;237
7;2025-07-24 16:12:14;validador;2,9;6;0;00;0;1887;623;604;1443;823700;957104;6869500254;25105165;29905;237
8;2025-07-24 16:13:14;validador;4;6;0;00;0;1891;616;604;1443;823700;957104;6869500539;25105290;29906;234
9;2025-07-24 16:14:15;validador;2,7;6;0;05;0;1885;621;604;1443;823700;957104;6869500821;25105439;29907;238
10;2025-07-24 16:15:15;validador;1,4;6;0;15;0;1886;618;604;1443;823700;957104;6869501120;25105614;29908;238
11;2025-07-24 16:16:15;validador;4,1;6;0;05;0;1881;622;604;1443;823700;957104;6869501544;25105757;29909;236
12;2025-07-24 16:17:16;validador;4,5;6;0;02;0;1884;618;604;1443;823700;957104;6869501855;25105900;29910;238
13;2025-07-24 16:18:16;validador;1,5;6;0;08;0;1884;617;604;1443;823700;957104;6869502153;25106028;29911;235
14;2025-07-24 16:19:16;validador;1,4;6;0;03;0;1889;612;604;1443;823700;957104;6869502485;25106143;29912;234
15;2025-07-24 16:20:17;validador;2,7;6;0;01;0;1889;612;604;1443;823700;957104;6869502778;25106267;29913;232
16;2025-07-24 16:21:17;validador;2,7;6;0;00;0;1889;611;604;1443;823700;957104;6869503049;25106368;29914;234
