ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
0;2025-07-29 20:00:44;dapps;0;0;8.190028114726699E-10;6,9;4,61;20898;8938913525;32901542
1;2025-07-29 20:01:45;dapps;0;233173;8.19002622407757E-10;6,2;4,88;20898;8938996206;32901751
2;2025-07-29 20:02:45;dapps;4183;907712;0.000003474208335388465;2,7;5,96;20900;8939052190;32902669
3;2025-07-29 20:03:45;dapps;40188;907712;0.00003319334220958376;12,3;6,05;20909;8939063938;32907854
4;2025-07-29 20:04:45;dapps;86448;907712;0.0001078101557640755;12,5;6,15;20957;8939096214;32914754
5;2025-07-29 20:05:46;dapps;129071;907712;0.0005247451486234231;14,3;6,35;21165;8939292624;32922424
6;2025-07-29 20:06:47;dapps;161311;907712;0.001775222191308817;40,6;8,90;21269;8939991153;32932221
7;2025-07-29 20:07:48;dapps;184801;907712;0.003423234612440367;19;8,95;21511;8940922992;32944830
8;2025-07-29 20:08:48;dapps;196918;907712;0.00546306307124692;20,3;8,53;21678;8942053810;32958225
9;2025-07-29 20:09:54;dapps;208049;907712;0.007286390766775879;36,5;9,12;21519;8943061601;32968666
10;2025-07-29 20:10:54;dapps;217617;907712;0.00945825342819996;35,9;10,45;21594;8944437563;32982931
11;2025-07-29 20:11:55;dapps;224483;907713;0.01139217655283111;6,9;10,13;21749;8945562990;32994149
12;2025-07-29 20:12:55;dapps;232523;907713;0.01353978909519518;19,4;11,30;21699;8946803877;33007425
13;2025-07-29 20:13:55;dapps;240478;907713;0.01570455548692331;19;11,59;21672;8948119216;33020396
14;2025-07-29 20:14:56;dapps;251877;907713;0.01799574251331243;36,5;10,22;22106;8949441464;33034653
15;2025-07-29 20:15:57;dapps;261951;907713;0.02043253357462224;39,4;12,39;21734;8950842586;33049866
16;2025-07-29 20:16:58;dapps;270701;907713;0.02251581044038416;36,5;11,84;21901;8952210914;33062744
17;2025-07-29 20:17:58;dapps;276650;907714;0.02441094257175767;40,6;11,11;21934;8953230861;33072274
18;2025-07-29 20:19:04;dapps;284267;907714;0.02644589282312225;28,6;10,81;21845;8954584729;33085037
19;2025-07-29 20:20:05;dapps;290293;907714;0.02844597370536827;3;12,41;22095;8956148636;33098941
20;2025-07-29 20:21:05;dapps;293995;907714;0.02961385985899234;42,2;12,71;21999;8956940033;33106310
21;2025-07-29 20:22:06;dapps;298035;907714;0.03085470260125153;20,3;12,25;22311;8957802113;33114751
22;2025-07-29 20:23:06;dapps;302614;907714;0.03232592429891745;35,9;14,17;22072;8958926668;33126102
23;2025-07-29 20:24:06;dapps;306375;907714;0.03349509214217999;17,7;13,33;22107;8959767555;33135706
24;2025-07-29 20:25:06;dapps;311875;907714;0.03519529712033807;25,4;11,83;22387;8961014500;33148865
25;2025-07-29 20:26:08;dapps;316316;907714;0.03672262119774335;37,5;13,12;22061;8962094701;33158750
26;2025-07-29 20:27:09;dapps;321548;907714;0.03855323027212616;36,5;11,85;21929;8963299796;33169937
