ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
0;2025-07-22 03:01:18;estandar;0;0;8.210721387603974E-10;4,6;5,75;20901;5492311684;20871961
1;2025-07-22 03:02:18;estandar;0;767173;8.210719518539849E-10;6,2;6,86;20901;5492432119;20872432
2;2025-07-22 03:03:19;estandar;68340;906598;0.00007054402256136743;10,8;7,21;20942;5492472928;20883053
3;2025-07-22 03:04:19;estandar;130104;906599;0.0005712687589707305;17,7;7,62;21237;5492727610;20895024
4;2025-07-22 03:05:19;estandar;157709;906599;0.001672000215994277;9,2;8,40;21937;5493319412;20904163
5;2025-07-22 03:06:19;estandar;179152;906599;0.002501991154028471;4,8;8,76;22534;5493840550;20911609
6;2025-07-22 03:07:20;estandar;187381;906599;0.003831756952077581;8,3;9,00;23409;5494587205;20918615
7;2025-07-22 03:08:20;estandar;199292;906599;0.005895267169821959;21;10,85;24665;5495658243;20928553
8;2025-07-22 03:09:20;estandar;212371;906599;0.008158744917532525;36,5;10,74;26250;5497011210;20941406
9;2025-07-22 03:10:20;estandar;221873;906600;0.01065527180816558;35,5;11,75;27942;5498438421;20954782
10;2025-07-22 03:11:21;estandar;229746;906600;0.01277188009213116;18,8;11,16;29418;5499773750;20967074
11;2025-07-22 03:12:21;estandar;237075;906600;0.01489589514709029;19;12,64;31180;5500986213;20979208
12;2025-07-22 03:13:21;estandar;249262;906600;0.01748536636409564;17,7;12,46;32934;5502485989;20994551
13;2025-07-22 03:14:21;estandar;259447;906600;0.01990375831956856;23,4;13,20;34469;5503795240;21007300
14;2025-07-22 03:15:22;estandar;268443;906600;0.02187528282978473;39,1;12,47;36189;5505089747;21020408
15;2025-07-22 03:16:25;estandar;273841;906600;0.02368791209192135;34,9;13,43;37582;5506242579;21031998
16;2025-07-22 03:17:25;estandar;280400;906600;0.02542131910206228;21,9;12,79;38633;5507267076;21042803
17;2025-07-22 03:18:25;estandar;287718;906600;0.02760199523823432;36,9;13,14;40397;5508828805;21056583
18;2025-07-22 03:19:26;estandar;292289;906600;0.0291560108933146;35,9;12,87;42034;5509989297;21066615
19;2025-07-22 03:20:26;estandar;297516;906600;0.03078613735923388;40,6;12,95;43448;5511110195;21076275
20;2025-07-22 03:21:26;estandar;303250;906600;0.03264060852171248;21,3;13,87;44707;5512456370;21086947
21;2025-07-22 03:22:33;estandar;310127;906600;0.03473027043703594;36,5;12,87;46355;5513872062;21098618
