ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
0;2025-07-31 01:01:06;lightning;0;0;8.186792911078861E-10;100;5,13;21123;9629120152;34354869
1;2025-07-31 01:02:07;lightning;0;0;8.186791021923114E-10;1,5;5,09;21123;9629151941;34354975
2;2025-07-31 01:03:07;lightning;0;0;8.186789163737986E-10;1,5;5,07;21124;9629183364;34355078
3;2025-07-31 01:04:07;lightning;0;281173;8.1867873055537E-10;1,5;5,49;21124;9629214418;34355183
4;2025-07-31 01:05:08;lightning;0;647173;8.18678541640054E-10;7,7;6,04;21124;9629244814;34355277
5;2025-07-31 01:06:08;lightning;29249;907872;0.00002411171493566353;15,6;6,52;21132;9629274586;34359222
6;2025-07-31 01:07:08;lightning;112621;907872;0.000258838202297365;6,5;6,69;21243;9629369741;34370991
7;2025-07-31 01:08:08;lightning;150909;907872;0.001440859334640805;7,8;7,74;21933;9630015613;34381581
8;2025-07-31 01:09:09;lightning;180041;907872;0.00257649036189661;4,7;9,15;22001;9630737171;34391097
9;2025-07-31 01:10:09;lightning;187079;907872;0.003781177154122344;1,5;9,64;21841;9631383345;34396749
10;2025-07-31 01:11:10;lightning;196976;907872;0.005472052159036245;19;9,69;21953;9632301295;34405153
11;2025-07-31 01:12:10;lightning;209816;907872;0.00761979497226382;21;10,04;22354;9633465882;34415235
12;2025-07-31 01:13:10;lightning;216117;907872;0.009015035883523445;1,5;10,81;21799;9634413480;34423169
13;2025-07-31 01:14:10;lightning;220937;907872;0.01039573318562322;3;11,19;21748;9635165694;34429903
14;2025-07-31 01:15:15;lightning;225558;907872;0.01171710587127414;36,5;10,68;21904;9635881889;34436398
15;2025-07-31 01:16:16;lightning;230731;907873;0.01303002608849374;15,2;10,91;22063;9636782873;34443638
16;2025-07-31 01:17:18;lightning;237862;907873;0.01507161010665732;32,3;12,07;21751;9637924978;34453160
17;2025-07-31 01:18:18;lightning;251356;907873;0.01789711822879242;21,5;12,22;22572;9639511465;34466074
18;2025-07-31 01:19:18;lightning;261684;907874;0.02037412701388353;22,2;11,92;22430;9640991255;34479205
19;2025-07-31 01:20:19;lightning;271047;907874;0.02263800136975554;19;11,68;22499;9642346048;34490732
20;2025-07-31 01:21:19;lightning;278277;907874;0.02479292216019306;17,7;12,81;22164;9643723080;34502087
21;2025-07-31 01:22:20;lightning;286313;907874;0.02707360186500998;35,9;11,78;22387;9645200233;34514849
22;2025-07-31 01:23:20;lightning;290670;907874;0.02857257110803993;19;13,30;22714;9646329453;34523532
23;2025-07-31 01:24:20;lightning;297013;907874;0.03050415126842674;21,9;12,53;22537;9647670144;34534299
24;2025-07-31 01:25:20;lightning;302618;907874;0.0323140239019553;23,4;11,99;22731;9649041175;34544839
25;2025-07-31 01:26:21;lightning;308831;907874;0.03419320212036102;22,2;12,22;22693;9650356661;34555293
26;2025-07-31 01:27:22;lightning;314253;907874;0.0360117926530978;34,9;12,12;22638;9651725919;34565887
27;2025-07-31 01:28:22;lightning;319887;907874;0.0379457451493128;21;13,37;22552;9653132086;34577024
28;2025-07-31 01:29:24;lightning;324416;907874;0.03965078947570345;35,9;12,50;22497;9654542039;34587573
29;2025-07-31 01:30:24;lightning;329403;907874;0.04178447293047195;24,2;13,33;22756;9656016130;34598153
30;2025-07-31 01:31:25;lightning;332896;907874;0.04352489389760165;20,3;12,76;22545;9657418118;34606724
31;2025-07-31 01:32:26;lightning;337420;907874;0.04562493275616373;41,5;12,02;22908;9658734008;34615426
32;2025-07-31 01:33:27;lightning;340974;907874;0.04759414501805981;36,5;12,99;22748;9660125381;34622783
33;2025-07-31 01:34:27;lightning;344801;907874;0.04950357049992084;38,1;12,30;22673;9661472263;34630400
34;2025-07-31 01:35:27;lightning;347852;907874;0.05119000416957781;38,5;12,66;22769;9662794124;34636692
35;2025-07-31 01:36:28;lightning;350959;907874;0.05291648388707813;37,7;12,24;22961;9664006680;34643374
36;2025-07-31 01:37:28;lightning;354166;907874;0.05489846825620504;38,7;12,89;22883;9665293128;34649489
37;2025-07-31 01:38:28;lightning;357150;907874;0.05663814517749965;37,5;12,64;22669;9666424656;34654358
38;2025-07-31 01:39:29;lightning;360400;907874;0.05865494734471369;36,5;12,56;22721;9667810477;34659676
39;2025-07-31 01:40:29;lightning;363146;907874;0.06046781598484596;20,6;13,48;22771;9669230874;34664433
40;2025-07-31 01:41:38;lightning;365019;907874;0.06215829270964284;37,1;12,99;23224;9670626216;34668405
41;2025-07-31 01:42:38;lightning;367326;907874;0.06370125265755594;38,1;13,48;23486;9671577082;34670994
42;2025-07-31 01:43:38;lightning;368605;907874;0.06465012418312829;37,5;12,92;23379;9672492005;34672466
43;2025-07-31 01:44:43;lightning;370801;907874;0.0660225712343669;35,5;12,34;24158;9673477740;34676632
44;2025-07-31 01:45:43;lightning;373512;907874;0.06775456117809799;39,1;12,70;24355;9674709919;34681251
45;2025-07-31 01:46:45;lightning;374744;907874;0.0687288626085166;36,5;13,46;23546;9675614907;34683287
46;2025-07-31 01:47:45;lightning;376759;907874;0.07031233937567727;23,1;13,94;23887;9676658283;34687035
47;2025-07-31 01:48:46;lightning;378813;907874;0.07180892802157411;36,5;13,14;23933;9677743305;34690471
48;2025-07-31 01:49:53;lightning;380945;907874;0.07346993440388032;31,7;13,63;23404;9679046953;34693946
49;2025-07-31 01:50:54;lightning;382888;907874;0.07521263345783051;39,1;13,45;23358;9680168445;34696724
50;2025-07-31 01:51:55;lightning;384939;907874;0.07682824467490464;31,2;12,86;23599;9681372892;34700800
51;2025-07-31 01:52:55;lightning;387010;907874;0.07863317689595509;19,4;14,26;23673;9682493513;34703062
52;2025-07-31 01:53:55;lightning;388735;907874;0.08035054586642992;37,1;12,60;23838;9683610053;34706136
53;2025-07-31 01:54:56;lightning;390559;907874;0.08224491987096437;40,6;13,61;23977;9684904775;34709280
54;2025-07-31 01:55:56;lightning;392370;907874;0.0838687968614663;37,5;13,04;23972;9686057202;34712517
55;2025-07-31 01:56:56;lightning;394155;907874;0.0856717913243723;41,5;14,14;23915;9687318209;34715619
56;2025-07-31 01:57:57;lightning;395910;907874;0.08755968222229522;56,2;13,11;24152;9688539292;34718988
57;2025-07-31 01:59:00;lightning;397454;907874;0.08911185771114426;36,5;12,65;23788;9689578868;34721577
58;2025-07-31 02:00:00;lightning;398964;907874;0.09072662150283166;35,9;13,71;23459;9690537572;34723680
59;2025-07-31 02:01:03;lightning;400240;907874;0.09235550881385723;34,4;13,44;23979;9691655907;34725856
60;2025-07-31 02:02:05;lightning;401575;907874;0.09406166404203554;39,1;14,27;23757;9692929015;34729791
61;2025-07-31 02:03:05;lightning;403473;907874;0.09605455512615658;37,1;12,62;24093;9693993703;34732426
62;2025-07-31 02:04:08;lightning;404770;907874;0.09737093005275434;48,4;12,81;24184;9695209845;34735508
63;2025-07-31 02:05:08;lightning;406542;907874;0.09936372121841212;36,5;12,88;23926;9696265759;34737203
64;2025-07-31 02:06:08;lightning;407988;907874;0.1010136413732113;25;14,71;24054;9697298490;34738788
65;2025-07-31 02:07:09;lightning;409342;907874;0.102737119259584;36,5;12,60;24371;9698381299;34741533
66;2025-07-31 02:08:09;lightning;410851;907874;0.1044922897947918;40,6;12,58;24118;9699542897;34744722
67;2025-07-31 02:09:09;lightning;412230;907874;0.1062302839070166;40,6;13,03;23982;9700636402;34747452
68;2025-07-31 02:10:09;lightning;413669;907874;0.1079756779750992;37,1;13,72;23932;9701745316;34751395
69;2025-07-31 02:11:10;lightning;414797;907874;0.1093967054350088;37,5;14,55;24062;9702796678;34754164
70;2025-07-31 02:12:14;lightning;416216;907874;0.1110738105479236;38,1;13,09;24163;9703830788;34756346
