perfil;tipo;metrica;media;mediana;std;min;max;valores
dapps;sync;verificationprogress;0.6242946356397001;0.6703891755551892;0.30330874549595166;8.19002622407757e-10;0.9998842981798282;888
dapps;sync;cpu_percent;37.21666666666667;37.1;6.831737836302042;2.7;84.1;888
dapps;sync;mem_percent;12.526711711711712;12.78;1.1166447963096253;4.61;14.84;888
dapps;sync;disk_used_MB;30536.35135135135;28123.5;5036.580178499235;20898.0;37686.0;888
dapps;sync;net_rx_kB;689712395.0;;;8938913525.0;9628625920.0;888
dapps;sync;net_tx_kB;1358617.0;;;32901542.0;34260159.0;888
estandar;sync;verificationprogress;0.6605579957340583;0.7333001783079721;0.2708899405958787;8.210719518539849e-10;0.9997502382480824;1363
estandar;sync;cpu_percent;37.66507703595011;36.5;9.351857443358725;3.0;84.1;1363
estandar;sync;mem_percent;13.035818048422597;13.1;0.7637545229159711;5.75;15.23;1363
estandar;sync;disk_used_MB;553288.4570799706;625163.0;222871.62557603917;20901.0;823406.0;1363
estandar;sync;net_rx_kB;688438199.0;;;5492311684.0;6180749883.0;1363
estandar;sync;net_tx_kB;2345727.0;;;20871961.0;23217688.0;1363
educador;post;cpu_percent;5.714999999999999;2.8;8.237508776775757;1.4;41.9;60
educador;post;mem_used_MB;1543.0166666666667;1513.0;81.22442057149526;1476.0;1868.0;60
educador;post;disk_used_MB;35183.8;35213.0;116.96034385165899;35074.0;35785.0;60
educador;post;net_rx_kB;73550.0;;;11407945194.0;11408018744.0;60
educador;post;net_tx_kB;5763.0;;;40531023.0;40536786.0;60
educador;post;uptime_minutes;43333.21666666667;43333.5;17.82123249620003;43303.0;43363.0;60
educador;post;num_processes;235.28333333333333;235.0;1.7280504020688736;232.0;241.0;60
lightning;post;cpu_percent;6.296666666666668;3.5;13.583838436416512;1.4;100.0;60
lightning;post;mem_used_MB;1846.3;1839.0;34.926702911543;1822.0;2046.0;60
lightning;post;disk_used_MB;35024.166666666664;35014.0;55.76620891272039;34999.0;35347.0;60
lightning;post;net_rx_kB;76125.0;;;10319631688.0;10319707813.0;60
lightning;post;net_tx_kB;6290.0;;;36018329.0;36024619.0;60
lightning;post;uptime_minutes;40230.5;40230.5;17.46424919657298;40201.0;40260.0;60
lightning;post;num_processes;234.96666666666667;235.0;1.9826934826966278;232.0;241.0;60
analista;sync;verificationprogress;0.6153983045462316;0.6696875650579657;0.2791708543072908;8.202953186354173e-10;0.9997735059171629;2185
analista;sync;cpu_percent;38.05505720823798;36.5;8.425800540706048;4.6;97.0;2185
analista;sync;mem_percent;12.565913043478261;12.63;0.6307107608592647;4.88;15.0;2185
analista;sync;disk_used_MB;524011.4677345538;581400.0;233596.67578794557;20961.0;836204.0;2185
analista;sync;net_rx_kB;689204940.0;;;6869696397.0;7558901337.0;2185
analista;sync;net_tx_kB;2585686.0;;;25187828.0;27773514.0;2185
educador;sync;verificationprogress;0.6045206095134571;0.6427143210153788;0.2960414078631678;8.182527747279504e-10;0.99985442099918;1854
educador;sync;cpu_percent;54.07858683926645;47.8;19.199330745575267;3.0;100.0;1854
educador;sync;mem_percent;10.821370010787486;10.83;0.4514832066643741;5.52;12.42;1854
educador;sync;disk_used_MB;29730.23678532902;27922.0;4612.22183582324;20894.0;36236.0;1854
educador;sync;net_rx_kB;690289529.0;;;10717653246.0;11407942775.0;1854
educador;sync;net_tx_kB;3582262.0;;;36948745.0;40531007.0;1854
lightning;sync;verificationprogress;0.6275954527866296;0.6750615519012307;0.2946180786272167;8.18678541640054e-10;0.9997826825009196;1084
lightning;sync;cpu_percent;37.62011070110701;37.1;8.918300646105553;1.5;100.0;1084
lightning;sync;mem_percent;12.950156826568266;13.05;0.9379086543454572;5.07;15.64;1084
lightning;sync;disk_used_MB;30196.327490774907;28428.5;4525.286972095366;21123.0;37025.0;1084
lightning;sync;net_rx_kB;690507222.0;;;9629120152.0;10319627374.0;1084
